rango_horas,cantidad_intentos_transaccion,cantidad_sucursales_distintas,cantidad_transacciones_exitosas,es_fraude,tasa_errores
6,3,1,3,0,0.0
4,4,2,2,0,0.5
10,5,2,2,0,0.6
24,6,1,1,0,0.8333333333333334
3,3,2,2,0,0.3333333333333333
4,1,1,1,0,0.0
30,1,1,1,0,0.0
2,2,1,2,0,0.0
48,13,1,9,0,0.3076923076923077
13,5,1,5,0,0.0
46,12,1,8,0,0.3333333333333333
2,3,1,3,0,0.0
28,7,2,2,0,0.7142857142857143
24,4,1,4,0,0.0
12,10,1,7,0,0.3
28,6,2,3,0,0.5
32,5,1,5,0,0.0
34,1,2,1,0,0.0
3,2,1,2,0,0.0
23,13,1,10,0,0.23076923076923078
29,11,1,10,0,0.09090909090909091
29,12,1,9,0,0.25
48,5,2,4,0,0.2
14,7,2,1,0,0.8571428571428571
2,15,4,0,1,1.0
3,4,1,2,0,0.5
8,2,1,1,0,0.5
12,6,1,5,0,0.16666666666666666
2,5,1,2,0,0.6
1,1,2,1,0,0.0
29,4,1,4,0,0.0
30,8,1,4,0,0.5
43,12,1,10,0,0.16666666666666666
1,2,2,2,0,0.0
2,7,2,6,0,0.14285714285714285
24,13,1,8,0,0.38461538461538464
24,6,2,1,0,0.8333333333333334
11,4,2,4,0,0.0
1,7,1,2,0,0.7142857142857143
3,6,1,3,0,0.5
1,7,1,1,0,0.8571428571428571
11,3,1,3,0,0.0
2,7,1,1,0,0.8571428571428571
8,11,1,11,0,0.0
20,1,1,1,0,0.0
40,4,2,1,0,0.75
6,7,1,2,0,0.7142857142857143
10,7,2,1,0,0.8571428571428571
7,6,2,4,0,0.3333333333333333
1,1,1,1,0,0.0
1,1,1,1,0,0.0
29,11,1,11,0,0.0
9,3,1,1,0,0.6666666666666666
2,6,1,2,0,0.6666666666666666
3,4,1,4,0,0.0
5,3,1,3,0,0.0
23,7,1,7,0,0.0
27,6,1,4,0,0.3333333333333333
42,11,1,5,0,0.5454545454545454
36,12,1,12,0,0.0
9,7,1,7,0,0.0
20,4,2,1,0,0.75
39,1,1,1,0,0.0
42,7,2,4,0,0.42857142857142855
40,6,1,6,0,0.0
30,7,1,3,0,0.5714285714285714
45,10,1,10,0,0.0
2,10,3,0,1,1.0
4,5,1,5,0,0.0
10,6,2,2,0,0.6666666666666666
30,12,1,12,0,0.0
32,7,2,1,0,0.8571428571428571
27,9,1,7,0,0.2222222222222222
11,7,1,7,0,0.0
2,30,9,0,1,1.0
1,7,1,5,0,0.2857142857142857
45,14,1,12,0,0.14285714285714285
41,9,1,9,0,0.0
18,7,1,5,0,0.2857142857142857
2,7,1,5,0,0.2857142857142857
11,14,1,6,0,0.5714285714285714
10,2,2,2,0,0.0
34,8,1,8,0,0.0
30,5,2,3,0,0.4
1,2,2,2,0,0.0
16,11,1,7,0,0.36363636363636365
1,10,4,0,1,1.0
18,1,2,1,0,0.0
1,11,4,0,1,1.0
41,8,1,4,0,0.5
3,1,2,1,0,0.0
44,4,1,4,0,0.0
1,7,2,3,0,0.5714285714285714
48,7,1,7,0,0.0
38,4,1,3,0,0.25
39,2,1,2,0,0.0
2,2,2,2,0,0.0
24,2,1,1,0,0.5
31,14,1,10,0,0.2857142857142857
28,8,1,8,0,0.0
22,7,2,3,0,0.5714285714285714
28,10,1,10,0,0.0
40,1,1,1,0,0.0
20,7,2,1,0,0.8571428571428571
3,2,1,2,0,0.0
47,5,2,4,0,0.2
40,6,2,1,0,0.8333333333333334
29,4,2,4,0,0.0
2,4,1,4,0,0.0
18,5,1,5,0,0.0
14,6,2,5,0,0.16666666666666666
36,1,2,1,0,0.0
26,13,1,7,0,0.46153846153846156
40,7,2,4,0,0.42857142857142855
37,13,1,13,0,0.0
1,5,2,1,0,0.8
3,4,1,4,0,0.0
1,3,2,3,0,0.0
11,5,1,3,0,0.4
40,5,1,5,0,0.0
2,12,10,0,1,1.0
5,10,1,10,0,0.0
1,6,2,5,0,0.16666666666666666
35,3,2,3,0,0.0
13,12,1,11,0,0.08333333333333333
47,1,2,1,0,0.0
31,11,1,9,0,0.18181818181818182
12,8,1,6,0,0.25
2,26,10,0,1,1.0
1,6,2,1,0,0.8333333333333334
39,6,1,4,0,0.3333333333333333
4,1,1,1,0,0.0
11,3,2,2,0,0.3333333333333333
30,2,2,2,0,0.0
30,7,1,7,0,0.0
1,5,2,3,0,0.4
7,4,1,2,0,0.5
2,7,2,6,0,0.14285714285714285
12,7,1,7,0,0.0
2,4,1,2,0,0.5
1,4,2,4,0,0.0
2,1,1,1,0,0.0
32,1,2,1,0,0.0
32,10,1,9,0,0.1
3,4,1,4,0,0.0
2,6,1,3,0,0.5
28,5,1,4,0,0.2
9,7,2,4,0,0.42857142857142855
2,4,2,4,0,0.0
7,4,1,4,0,0.0
36,4,1,4,0,0.0
41,10,1,8,0,0.2
27,1,2,1,0,0.0
1,14,7,0,1,1.0
19,10,1,7,0,0.3
24,4,1,4,0,0.0
1,7,2,1,0,0.8571428571428571
48,8,1,8,0,0.0
18,6,1,2,0,0.6666666666666666
3,5,2,5,0,0.0
1,7,2,1,0,0.8571428571428571
2,5,1,2,0,0.6
6,13,1,4,0,0.6923076923076923
36,12,1,12,0,0.0
3,5,1,5,0,0.0
3,1,2,1,0,0.0
48,6,1,4,0,0.3333333333333333
3,1,2,1,0,0.0
36,7,1,7,0,0.0
3,4,1,4,0,0.0
37,11,1,4,0,0.6363636363636364
3,5,2,5,0,0.0
1,4,2,4,0,0.0
32,9,1,5,0,0.4444444444444444
44,6,1,5,0,0.16666666666666666
43,11,1,6,0,0.45454545454545453
5,6,2,1,0,0.8333333333333334
18,9,1,9,0,0.0
4,1,1,1,0,0.0
19,12,1,11,0,0.08333333333333333
43,4,2,1,0,0.75
3,7,1,6,0,0.14285714285714285
21,10,1,4,0,0.6
1,4,1,4,0,0.0
27,4,1,4,0,0.0
3,5,2,5,0,0.0
1,2,1,2,0,0.0
1,2,1,2,0,0.0
2,4,2,2,0,0.5
2,7,1,7,0,0.0
1,2,1,2,0,0.0
3,1,1,1,0,0.0
19,4,1,4,0,0.0
46,5,2,1,0,0.8
3,3,1,3,0,0.0
2,3,1,3,0,0.0
47,5,1,5,0,0.0
46,6,1,4,0,0.3333333333333333
2,6,4,0,1,1.0
2,4,1,4,0,0.0
48,7,1,3,0,0.5714285714285714
3,7,1,2,0,0.7142857142857143
28,3,1,3,0,0.0
2,2,1,2,0,0.0
40,6,1,1,0,0.8333333333333334
19,6,1,6,0,0.0
1,2,1,1,0,0.5
48,6,1,2,0,0.6666666666666666
2,3,1,3,0,0.0
20,1,2,1,0,0.0
47,6,2,5,0,0.16666666666666666
21,7,2,1,0,0.8571428571428571
3,4,1,4,0,0.0
25,3,2,1,0,0.6666666666666666
13,6,2,1,0,0.8333333333333334
7,6,1,5,0,0.16666666666666666
28,7,1,5,0,0.2857142857142857
2,17,8,0,1,1.0
9,7,1,4,0,0.42857142857142855
2,3,1,3,0,0.0
39,5,1,4,0,0.2
20,2,1,2,0,0.0
7,13,1,4,0,0.6923076923076923
20,5,1,4,0,0.2
45,12,1,12,0,0.0
20,4,2,4,0,0.0
19,1,2,1,0,0.0
2,17,3,0,1,1.0
1,2,2,2,0,0.0
16,14,1,8,0,0.42857142857142855
7,8,1,8,0,0.0
46,7,1,3,0,0.5714285714285714
1,3,1,3,0,0.0
17,4,1,2,0,0.5
11,3,1,1,0,0.6666666666666666
18,10,1,10,0,0.0
1,7,2,1,0,0.8571428571428571
2,5,2,1,0,0.8
2,26,9,0,1,1.0
36,1,2,1,0,0.0
2,7,1,7,0,0.0
2,6,1,4,0,0.3333333333333333
22,3,1,3,0,0.0
23,11,1,6,0,0.45454545454545453
1,4,1,4,0,0.0
3,1,1,1,0,0.0
41,13,1,13,0,0.0
2,1,1,1,0,0.0
3,2,1,2,0,0.0
11,6,2,2,0,0.6666666666666666
36,9,1,6,0,0.3333333333333333
1,24,7,0,1,1.0
2,2,2,2,0,0.0
3,5,2,1,0,0.8
13,6,1,6,0,0.0
2,3,1,3,0,0.0
28,3,1,3,0,0.0
43,2,1,2,0,0.0
2,12,4,0,1,1.0
2,2,2,2,0,0.0
39,5,1,4,0,0.2
36,12,1,6,0,0.5
1,3,2,3,0,0.0
44,1,1,1,0,0.0
31,4,2,4,0,0.0
6,6,1,6,0,0.0
3,4,2,3,0,0.25
1,6,2,3,0,0.5
3,6,2,1,0,0.8333333333333334
42,5,2,4,0,0.2
1,7,2,2,0,0.7142857142857143
32,6,1,4,0,0.3333333333333333
1,7,2,4,0,0.42857142857142855
3,1,2,1,0,0.0
4,11,1,9,0,0.18181818181818182
2,6,1,1,0,0.8333333333333334
42,5,1,4,0,0.2
26,5,2,4,0,0.2
22,6,2,3,0,0.5
4,12,1,8,0,0.3333333333333333
36,3,1,3,0,0.0
33,5,1,4,0,0.2
22,2,2,2,0,0.0
28,5,1,5,0,0.0
1,7,1,5,0,0.2857142857142857
44,14,1,4,0,0.7142857142857143
11,7,2,5,0,0.2857142857142857
34,5,1,5,0,0.0
1,5,2,5,0,0.0
3,1,2,1,0,0.0
18,13,1,6,0,0.5384615384615384
23,2,2,2,0,0.0
1,4,2,4,0,0.0
1,1,1,1,0,0.0
25,1,2,1,0,0.0
1,7,2,5,0,0.2857142857142857
4,7,2,1,0,0.8571428571428571
12,8,1,8,0,0.0
2,4,1,4,0,0.0
2,20,7,0,1,1.0
13,6,1,6,0,0.0
38,9,1,9,0,0.0
36,4,1,4,0,0.0
18,6,2,4,0,0.3333333333333333
5,1,1,1,0,0.0
37,7,1,7,0,0.0
3,5,1,1,0,0.8
38,5,1,1,0,0.8
1,5,1,2,0,0.6
24,2,1,2,0,0.0
3,5,1,5,0,0.0
26,11,1,9,0,0.18181818181818182
1,29,9,0,1,1.0
40,6,2,3,0,0.5
1,8,2,0,1,1.0
42,9,1,4,0,0.5555555555555556
38,3,1,3,0,0.0
2,27,5,0,1,1.0
2,4,1,1,0,0.75
27,7,2,5,0,0.2857142857142857
2,6,1,5,0,0.16666666666666666
21,1,1,1,0,0.0
34,2,1,2,0,0.0
32,5,1,5,0,0.0
3,2,1,2,0,0.0
40,10,1,10,0,0.0
2,14,7,0,1,1.0
42,3,2,3,0,0.0
14,3,2,3,0,0.0
3,1,2,1,0,0.0
3,3,2,3,0,0.0
7,10,1,9,0,0.1
1,1,1,1,0,0.0
25,5,1,5,0,0.0
26,4,2,3,0,0.25
34,6,1,6,0,0.0
24,4,1,1,0,0.75
13,3,2,2,0,0.3333333333333333
1,3,1,3,0,0.0
5,8,1,8,0,0.0
1,14,3,0,1,1.0
35,1,1,1,0,0.0
42,5,1,5,0,0.0
31,14,1,7,0,0.5
1,5,1,5,0,0.0
2,6,1,2,0,0.6666666666666666
22,13,1,12,0,0.07692307692307693
3,4,1,4,0,0.0
1,23,7,0,1,1.0
13,14,1,10,0,0.2857142857142857
26,5,2,2,0,0.6
1,3,1,3,0,0.0
42,5,2,3,0,0.4
29,1,1,1,0,0.0
25,2,2,1,0,0.5
3,7,1,6,0,0.14285714285714285
33,6,1,1,0,0.8333333333333334
38,11,1,6,0,0.45454545454545453
28,8,1,8,0,0.0
1,24,4,0,1,1.0
1,18,3,0,1,1.0
16,6,1,6,0,0.0
3,6,1,4,0,0.3333333333333333
13,1,1,1,0,0.0
38,6,1,2,0,0.6666666666666666
21,5,1,1,0,0.8
3,5,1,3,0,0.4
3,6,1,2,0,0.6666666666666666
22,8,1,8,0,0.0
15,5,2,1,0,0.8
13,5,1,5,0,0.0
1,7,2,3,0,0.5714285714285714
22,12,1,6,0,0.5
47,3,2,2,0,0.3333333333333333
2,4,1,4,0,0.0
39,12,1,7,0,0.4166666666666667
1,17,4,0,1,1.0
2,19,3,0,1,1.0
27,10,1,4,0,0.6
24,7,1,1,0,0.8571428571428571
3,7,1,3,0,0.5714285714285714
39,9,1,9,0,0.0
3,1,2,1,0,0.0
46,6,1,5,0,0.16666666666666666
1,7,1,6,0,0.14285714285714285
41,11,1,8,0,0.2727272727272727
6,1,1,1,0,0.0
41,14,1,5,0,0.6428571428571429
2,6,1,2,0,0.6666666666666666
45,6,1,6,0,0.0
3,1,2,1,0,0.0
25,9,1,9,0,0.0
29,12,1,8,0,0.3333333333333333
45,9,1,9,0,0.0
2,1,2,1,0,0.0
2,5,2,4,0,0.2
11,14,1,10,0,0.2857142857142857
43,13,1,9,0,0.3076923076923077
29,5,1,1,0,0.8
47,1,1,1,0,0.0
